Code,Name,Content
M150,Programming and Computer Applications,"FORTRAN Programming language: Constants and variables, Intrinsic functions, Loops, Conditional statements, Arrays - Array operations in FORTRAN 95, Functions and subroutines MATLAB programming, Using derive, Applications."
CS102 ,Computer Programming(1),"Problem-solving strategies, Debugging strategies, Structured decomposition, The concept and properties of algorithms, The role of algorithms in the problem-solving process, Basic syntax and semantics of higher-level language, C Programming, Variables, Types and assignment. Conditional and iterative control structures."
CS201 ,Computer Programming(2),"Functions and parameter passing, Simple I/O, Exception handling, Primitive types, Arrays, Records, Strings and string processing, Data representation in memory, Pointers (or the notion of a reference in an object-oriented language), The concept of recursion, Recursive mathematical functions, Simple recursive procedures (towers of hanoi, generating permutations), Divide-and-conquer strategies recursive backtracking."
CS202,Data Structures and File Processing,"Specification and representation of the elementary data types (integers, real, character, logical). Specification, Representation and implementation of basic data structure: Linear data structures (arrays, lists, queues, stacks, double ended queues, files), Non-linear data structures (trees, binary trees, graphs), Implementation of linked and dynamic data structures, File layout, Directories: Contents and structure, Naming, Searching, Access, Backups, Fundamental file concepts (organization, blocking, buffering), Sequential files, Nonsequential files."
CS203,Discrete Structures,"Functions: Surjection’s, Injections, Inverses, Composition, Relations: Equivalence relations, Pigeonhole principle, Cardinality and countability, Propositional logic, Logical connectives, Truth tables, Validity, Implication, Converse, Inverse, Negation, Contradiction, Predicate logic, Universal and existential quantification, Modus ponens and modus mathod of proofs, Direct proofs, Proof by counterexample, Proof by contraposition, Proof by contradiction, Well orderings, Counting arguments, Permutations and combinations, Solving recurrence relations, Trees, Undirected graphs, Directed graphs, Spanning trees."
CS204,Theory of Computation,"Deterministic finite automata (DFA) and regular languages nondeterministic finite automata (NFA), Equivalence of NFAs and DFAs, Closure properties, Regular expressions, The pumping lemma, Pushdown automata, Pushdown automata, Context free languages, Ambiguity and chomsky normal form, Turing machines, Turing machines variants, Enumerators, Decidability, Diagonalization, The halting problem, Reducibility, Time complexity, P and NP, Polytime reductions, NP-completeness."
CS206,Advanced Programming,"Object-oriented design, Classes, Subclasses and inheritance, Class hierarchies, Polymorphism, Fundamental design patterns, Event-handling methods, Event propagation, Managing concurrency in event handling, API programming-class browsers and related tools, Programming by exampleDebugging in the API environment"
CS208,Computer Architecture and Organization,"Simple building blocks (logic gates, flip-flops, counters, registers), Logic expressions, Simple adders, Structure of a simple arithmetic-logic unit (ALU), Numeric data representation and number bases, Fixed- and floating-point systems- Signed and twos-complement representations, Representation of nonnumeric data, Basic organization, Control unit; Instruction fetch, Decode and execution, Instruction sets and types (data manipulation, control, I/O), Assembly/machine language programming. Instruction formats- Addressing modes- I/O and interrupts, Storage systems and technology, Memory hierarchy, Main memory organization and operations- Latency, Cycle time, Bandwidth and interleaving, Cache memories (address mapping, replacement and store policy), Input/output control methods, Interrupts, Synchronization, Open loop, Handshaking, External storage, Physical organization and drives, Bus systems, Control-direct-memory access (DMA), Hardwired realization of CPU- Micro-programmed realization; Formats and coding, Varieties of instruction formats, Architectural support for operating systems and compilers, Instruction pipelining, Introduction to instruction, Level parallelism (ILP)."
CS210,Network and Internet Programming,"Encoding, Framing, Error detection, Ethernet, Token rings, Wireless, Network adaptors, Switching and forwarding, circuit switching, Packet switching, Datagrams, Switching and forwarding, IP, Service model, Routing and forwarding, UDP, TCP, Application-layer protocols, HTTP, FTP, SMTP, DNS (domain hierarchy, name servers, name resolution), Socket programming in Java, Cache, CDN, P2P. Broadcasting, multicasting), Non-blocking I/O, Non-blocking I/O, I/O multiplexing, Reliable transmission (stop-and-wait), Finite state machine; Go-back-n and selective repeat ARQs, TCP flow control, TCP congestion control (additive increase/multiplicative decrease, slow start, fast retransmit, fast recovery), Brief on congestion, Avoidance mechanisms, Distance vector routing algorithm, Link state and distance vector routing algorithm, Hierarchical routing, Cryptographic algorithms (DES/AES, RSA, MD5), Security services, Authentication protocols, Message integrity protocols, Public key distribution"
CS212,Concepts of Programming Language,"Scheme, Expression evaluation and a simple model of evaluation, Data procedures, Local variables, Logical operators, Data driven programming. Inductive definitions, BNF, Recursion, Mutual recursion, Properties of variables, Data abstraction, Abstract syntax, Environments, Mutable data and sequencing, An new evaluation model, Transformational languages, Environment passing interpreters, Conditional evaluation and local binding, User-defined procedures and closures, Variable assignment, Parameter passing, Lazy evaluation, Aggregate data implementations, Statements, Type checking, Type inference and type abstractions, Polymorphism, Object oriented language, Inheritance, Implementing object-oriented features, Control context and continuations, A continuation passing interpreter, Procedural representation of continuations, Exceptions and control flow, Logic programming."
